County,Yes,No,Total,Registered_Voters,Ballots_Cast,Turnout
Adams,29011,53237,82248,255137,82248,0.322
Alamosa,1644,2605,4249,9254,4249,0.459
Arapahoe,48310,91063,139373,378278,139373,0.368
Archuleta,1010,2917,3927,10116,3927,0.388
Baca,475,1035,1510,2829,1510,0.534
Bent,469,861,1330,2793,1330,0.476
Boulder,55213,48093,103306,245743,103306,0.420
Broomfield,7925,12448,20373,42456,20373,0.480
Chaffee,2171,5111,7282,13224,7282,0.551
Cheyenne,131,819,950,1411,950,0.673
Clear Creek,1130,2385,3515,7882,3515,0.446
Conejos,971,1580,2551,5547,2551,0.460
Costilla,494,661,1155,2755,1155,0.419
Crowley,265,714,979,2024,979,0.484
Custer,459,1578,2037,3350,2037,0.608
Delta,2413,7377,9790,21054,9790,0.465
Denver,73167,65150,138317,454687,138317,0.304
Dolores,200,543,743,1691,743,0.439
Douglas,29710,76773,106483,217300,106483,0.490
Eagle,4880,7283,12163,32547,12163,0.374
El Paso,40085,110154,150239,413924,150239,0.363
Elbert,1459,7663,9122,18153,9122,0.503
Fremont,4243,9549,13792,27850,13792,0.495
Garfield,4369,8849,13218,32766,13218,0.403
Gilpin,578,1354,1932,5009,1932,0.386
Grand,1581,3606,5187,12067,5187,0.430
Gunnison,2193,2607,4800,11733,4800,0.409
Hinsdale,142,260,402,718,402,0.560
Huerfano,808,1616,2424,4921,2424,0.493
Jackson,109,485,594,1105,594,0.538
Jefferson,61463,115045,176508,412954,176508,0.427
Kiowa,140,488,628,1018,628,0.617
Kit Carson,641,2059,2700,5018,2700,0.538
La Plata,6534,8224,14758,41541,14758,0.355
Lake,600,1108,1708,5002,1708,0.341
Larimer,36983,62455,99438,227969,99438,0.436
Las Animas,1609,3233,4842,10100,4842,0.479
Lincoln,395,1461,1856,3073,1856,0.604
Logan,1462,4907,6369,12316,6369,0.517
Mesa,10490,31643,42133,107582,42133,0.392
Mineral,256,340,596,867,596,0.687
Moffat,900,3044,3944,9457,3944,0.417
Montezuma,2585,4450,7035,19660,7035,0.358
Montrose,2368,9298,11666,25850,11666,0.451
Morgan,2359,4923,7282,15378,7282,0.474
Otero,1757,3541,5298,11536,5298,0.459
Ouray,663,1459,2122,4240,2122,0.500
Park,1214,4710,5924,13212,5924,0.448
Phillips,437,1355,1792,3191,1792,0.562
Pitkin,2048,2648,4696,14915,4696,0.315
Prowers,663,2424,3087,6914,3087,0.446
Pueblo,14177,30172,44349,110778,44349,0.400
Rio Blanco,334,1800,2134,4395,2134,0.486
Rio Grande,1067,2143,3210,7730,3210,0.415
Routt,2175,5030,7205,18474,7205,0.390
Saguache,743,1048,1791,4220,1791,0.424
San Juan,136,204,340,665,340,0.511
San Miguel,1031,1500,2531,6543,2531,0.387
Sedgwick,241,793,1034,1661,1034,0.623
Summit,2774,4699,7473,26031,7473,0.287
Teller,2018,5793,7811,17433,7811,0.448
Washington,317,1648,1965,3304,1965,0.595
Weld,19380,45084,64464,164473,64464,0.392
Yuma,576,2822,3398,6377,3398,0.533
Totals:,496151,899927,1396078,3562201,1396078,0.392
